ticker,name,close,volume
1340,勝悅-KY,7.2,189958
1341,富林-KY,57.9,4002
1342,八貫,86.7,154540
1402,遠東新,28.15,4216713
1409,新纖,14.75,2562208
1410,南染,34.45,3328
1413,宏洲,10.05,3338
1414,東和,17.2,145290
1416,廣豐,11.65,128696
1417,嘉裕,8.96,122333
1418,東華,19.9,15385
1419,新紡,70.6,333782
1423,利華,38.45,41265
1432,大魯閣,18.45,214954
1434,福懋,16.0,866339
1435,中福,26.4,90869
1436,華友聯,63.0,115954
1437,勤益控,34.6,221005
1438,三地開發,33.7,10286
1439,雋揚,27.05,22201
1440,南紡,13.65,3517886
1441,大東,10.55,6432
1442,名軒,32.25,523163
1443,立益物流,26.8,2032
1444,力麗,6.04,459077
1445,大宇,13.85,220035
1446,宏和,18.0,132023
1447,力鵬,5.64,276876
1449,佳和,10.65,3306612
1451,年興,17.3,98109
1452,宏益,11.95,126709
1453,大將,12.15,204175
1454,台富,13.75,1858
1455,集盛,7.66,326939
1456,怡華,13.1,34919
1457,宜進,15.95,54764
1459,聯發,11.75,94121
1460,宏遠,6.19,431792
1463,強盛新,19.45,83510
1464,得力,11.2,472479
1465,偉全,13.0,28054
1466,聚隆,14.1,88218
1467,南緯,7.04,380940
1468,昶和,11.95,35009
1471,首利,8.44,287321
1472,三洋實業,90.2,46225
1473,台南,24.2,59365
1474,弘裕,11.1,113999
1475,業旺,31.6,102985
1476,儒鴻,389.0,891425
1477,聚陽,294.5,987755
1503,士電,170.5,1045938
1504,東元,85.0,13948577
1506,正道,11.75,42923
1512,瑞利,7.66,65269
1513,中興電,149.5,2170220
1514,亞力,98.7,2078819
1515,力山,28.8,545341
1516,川飛,20.15,127431
1517,利奇,11.2,192323
1519,華城,761.0,7261441
1521,大億,24.1,12361
1522,堤維西,46.5,2158448
1524,耿鼎,28.0,1132529
1525,江申,64.5,24084
1526,日馳,17.1,14196
1527,鑽全,33.45,316307
1528,恩德,15.6,7289969
1529,樂事綠能,18.6,711885
1530,亞崴,26.8,9049
1531,高林股,11.95,47424
1532,勤美,26.95,335683
1533,車王電,32.25,175603
1535,中宇,53.1,31300
1536,和大,58.5,947131
1537,廣隆,125.0,49235
1538,正峰,27.25,9030
1539,巨庭,17.05,12265
1540,喬福,23.3,1834143
1541,錩泰,23.75,8032
1558,伸興,100.0,44642
1560,中砂,358.5,5776065
1563,巧新,40.3,222662
1568,倉佑,21.9,57432
1582,信錦,66.0,310843
1583,程泰,46.75,25255
1587,吉茂,43.8,982702
1589,永冠-KY,17.25,368420
1590,亞德客-KY,917.0,659672
1597,直得,72.7,267815
1598,岱宇,21.0,746128
1603,華電,38.15,575762
1604,聲寶,24.55,314863
1605,華新,29.5,34798598
1608,華榮,36.95,8996256
1609,大亞,38.15,2441152
1611,中電,12.15,415162
1612,宏泰,34.3,670520
1614,三洋電,34.3,28224
1615,大山,49.3,50910
1616,億泰,27.9,980371
1617,榮星,14.3,63940
1618,合機,42.15,265060
1626,艾美特-KY,11.8,21917
1702,南僑,37.75,323653
1707,葡萄王,127.0,58103
1708,東鹼,32.85,840086
1709,和益,16.7,377645
1710,東聯,12.2,753997
1711,永光,18.05,1916389
1712,興農,43.35,328257
1713,國化,42.85,43476
1714,和桐,8.37,2471772
1717,長興,41.15,15593646
1718,中纖,6.9,1942296
1720,生達,60.9,437642
1721,三晃,11.25,495459
1722,台肥,47.05,1370567
1723,中碳,69.3,563000
1725,元禎,25.75,34636
1727,中華化,39.2,8314052
1730,花仙子,53.1,7658
1731,美吾華,21.85,41916
1732,毛寶,29.3,31626
1733,五鼎,30.75,96078
1734,杏輝,30.5,609218
1735,日勝化,14.75,7999
1736,喬山,160.0,468984
1737,臺鹽,31.55,60825
1752,南光,38.0,50766
1760,寶齡富錦,65.5,52873
1762,中化生,24.9,31071
1773,勝一,138.0,414568
1776,展宇,14.95,13073
1783,和康生,43.3,49197
1786,科妍,75.9,244484
1789,神隆,17.2,317635
1795,美時,283.0,3329056
1802,台玻,37.4,133914484
1805,寶徠,11.5,68258
1806,冠軍,9.01,314329
1808,潤隆,31.7,2034853
1809,中釉,17.45,314119
1810,和成,16.8,673899
1817,凱撒衛,38.55,30231
1903,士紙,55.4,184146
1904,正隆,17.9,472649
1905,華紙,11.95,732114
1906,寶隆,12.35,12944
1907,永豐餘,26.35,246014
1909,榮成,10.7,1197074
2002,中鋼,18.35,22324807
2002A,中鋼特,38.8,9055
2006,東和鋼鐵,70.8,1112913
2007,燁興,7.22,96928
2008,高興昌,29.55,4022
2009,第一銅,43.4,5376480
2010,春源,20.45,671098
2012,春雨,14.9,26549
2013,中鋼構,41.85,68371
2014,中鴻,14.7,2129703
2015,豐興,63.3,128334
2017,官田鋼,8.34,188225
2020,美亞,23.0,133476
2022,聚亨,8.21,370306
2023,燁輝,15.0,912126
2024,志聯,15.6,3040
2025,千興,9.55,36759
2027,大成鋼,36.85,8447446
2028,威致,16.2,56796
2029,盛餘,20.45,109933
2030,彰源,13.65,128561
2031,新光鋼,37.45,303078
2032,新鋼,14.1,93459
2033,佳大,15.65,46163
2034,允強,19.8,552397
2038,海光,13.95,92275
2049,上銀,200.0,2612099
2059,川湖,3825.0,1624116
2062,橋椿,21.2,142433
2069,運錩,16.45,127515
2101,南港,38.45,1269961
2102,泰豐,20.15,320249
2103,台橡,16.0,1465996
2104,國際中橡,11.7,4600894
2105,正新,30.8,5036001
2106,建大,20.9,785353
2107,厚生,24.55,337231
2108,南帝,22.9,211874
2109,華豐,15.1,107174
2114,鑫永銓,89.7,15393
2115,六暉-KY,24.75,35549
2201,裕隆,33.05,2274997
2204,中華,60.0,1177051
2206,三陽工業,61.2,363408
2207,和泰車,592.0,226516
2208,台船,20.05,2426810
2211,長榮鋼,112.5,2425563
2227,裕日車,55.2,26664
2228,劍麟,105.5,1739946
2231,為升,93.5,357463
2233,宇隆,187.5,329982
2236,百達-KY,114.5,606026
2239,英利-KY,37.8,171762
2241,艾姆勒,37.7,690183
2243,宏旭-KY,11.55,453774
2247,汎德永業,292.0,42505
2248,華勝-KY,49.5,76083
2250,IKKA-KY,69.8,497792
2254,巨鎧精密-創,59.4,3001
2258,鴻華先進-創,38.85,183206
2301,光寶科,153.5,15257305
2302,麗正,17.7,1247346
2303,聯電,48.65,42523226
2305,全友,10.6,438868
2308,台達電,945.0,12453039
2312,金寶,22.55,14133762
2313,華通,83.0,5420836
2314,台揚,22.5,119771
2316,楠梓電,108.5,5552093
2317,鴻海,226.0,60054527
2321,東訊,17.15,5740
2323,中環,10.85,34781968
2324,仁寶,29.85,13313072
2327,國巨*,236.0,47383415
2328,廣宇,47.35,2521972
2329,華泰,46.35,3972574
2330,台積電,1470.0,31820417
2331,精英,22.9,20780156
2332,友訊,15.65,1526237
2337,旺宏,36.4,84411900
2338,光罩,35.45,484205
2340,台亞,27.55,2724485
2342,茂矽,28.8,944185
2344,華邦電,68.4,288345883
2345,智邦,1135.0,16597109
2347,聯強,60.0,4629106
2348,海悅,79.8,244705
2348A,海悅甲特,36.5,11000
2349,錸德,12.8,28941873
2351,順德,79.0,415151
2352,佳世達,26.75,3913507
2353,宏碁,26.5,22782616
2354,鴻準,63.6,5845041
2355,敬鵬,31.35,2758785
2356,英業達,44.05,9548661
2357,華碩,592.0,2709905
2359,所羅門,128.5,1473081
2360,致茂,796.0,2967841
2362,藍天,40.4,310596
2363,矽統,48.3,2644722
2364,倫飛,66.9,165193
2365,昆盈,35.55,1811416
2367,燿華,25.35,9590446
2368,金像電,603.0,9874279
2369,菱生,22.85,7406669
2371,大同,34.0,46014006
2373,震旦行,56.8,12052
2374,佳能,79.6,5532576
2375,凱美,94.4,6377522
2376,技嘉,243.5,2760999
2377,微星,99.3,4455299
2379,瑞昱,532.0,1271792
2380,虹光,4.93,115468
2382,廣達,288.0,11325210
2383,台光電,1595.0,4675458
2385,群光,115.0,2270531
2387,精元,39.0,152352
2388,威盛,66.6,27540920
2390,云辰,9.43,196287
2392,正崴,37.9,1611646
2393,億光,50.4,3107656
2395,研華,281.5,1447975
2397,友通,60.7,85268
2399,映泰,25.4,6477899
2401,凌陽,20.4,1706986
2402,毅嘉,62.8,72477267
2404,漢唐,897.0,8159996
2405,輔信,18.3,2138043
2406,國碩,24.95,13416779
2408,南亞科,156.0,15169179
2409,友達,11.4,34287490
2412,中華電,130.0,4890917
2413,環科,29.6,4502324
2414,精技,41.1,103624
2415,錩新,26.75,243403
2417,圓剛,36.95,289066
2419,仲琦,23.3,628916
2420,新巨,50.8,120512
2421,建準,158.5,2434184
2423,固緯,54.3,100117
2424,隴華,42.65,451808
2425,承啟,30.5,2308736
2426,鼎元,16.9,635830
2427,三商電,27.0,888009
2428,興勤,181.5,787818
2429,銘旺科,86.8,1484282
2430,燦坤,23.15,119346
2431,聯昌,11.15,439674
2432,倚天酷碁-創,26.2,19000
2433,互盛電,47.8,29014
2434,統懋,32.75,60348
2436,偉詮電,48.1,994034
2438,翔耀,22.9,83835
2439,美律,99.6,1520879
2440,太空梭,12.25,153259
2441,超豐,83.8,49479841
2442,新美齊,24.95,251952
2444,兆勁,10.95,127254
2449,京元電子,221.5,21378228
2450,神腦,28.95,78253
2451,創見,174.0,3484804
2453,凌群,52.9,246617
2454,聯發科,1395.0,10005124
2455,全新,141.0,3876422
2457,飛宏,29.7,6829597
2458,義隆,128.0,1422904
2459,敦吉,66.4,64210
2460,建通,19.95,681923
2461,光群雷,15.2,202760
2462,良得電,22.2,220512
2464,盟立,59.0,758766
2465,麗臺,55.0,149875
2466,冠西電,66.4,5893559
2467,志聖,243.0,8983552
2468,華經,42.05,650840
2471,資通,49.75,102870
2472,立隆電,109.0,5927327
2474,可成,189.0,1880981
2476,鉅祥,89.4,1480896
2477,美隆電,23.85,120626
2478,大毅,58.9,1967015
2480,敦陽科,150.5,92900
2481,強茂,86.0,27180543
2482,連宇,16.85,160457
2483,百容,18.6,61046
2484,希華,20.7,163557
2485,兆赫,26.65,49016008
2486,一詮,94.1,7046396
2488,漢平,45.4,96874
2489,瑞軒,14.65,2072015
2491,吉祥全,19.75,961345
2492,華新科,121.0,16140824
2493,揚博,103.0,4502293
2495,普安,28.5,11679789
2496,卓越,68.9,11198
2497,怡利電,43.7,94752
2498,宏達電,52.0,24262603
2501,國建,22.15,1927981
2504,國產,35.5,1044278
2505,國揚,19.1,312697
2506,太設,9.44,120253
2509,全坤建,14.65,87002
2511,太子,8.07,1047245
2514,龍邦,14.5,54943
2515,中工,12.75,8547540
2516,新建,15.05,321027
2520,冠德,32.45,1506214
2524,京城,41.1,104890
2527,宏璟,28.95,287047
2528,皇普,29.95,637854
2530,華建,27.55,475290
2534,宏盛,20.05,1032726
2535,達欣工,62.8,250164
2536,宏普,26.7,162730
2537,聯上發,10.4,249553
2538,基泰,11.2,263525
2539,櫻花建,47.85,542344
2540,愛山林,45.6,684013
2542,興富發,37.4,5783308
2543,皇昌,61.3,2629033
2545,皇翔,37.5,253354
2546,根基,86.5,97305
2547,日勝生,10.6,1510097
2548,華固,104.0,415895
2597,潤弘,164.0,228352
2601,益航,5.61,835026
2603,長榮,180.5,5718517
2605,新興,26.4,18820009
2606,裕民,61.2,10524528
2607,榮運,57.8,452151
2608,嘉里大榮,33.45,114833
2609,陽明,50.7,11897287
2610,華航,19.4,45459162
2611,志信,15.0,235302
2612,中航,62.9,4842367
2613,中櫃,23.7,222691
2614,東森,21.55,980947
2615,萬海,78.4,5840067
2616,山隆,13.9,103587
2617,台航,30.95,890065
2618,長榮航,35.55,37371092
2630,亞航,50.4,1076658
2633,台灣高鐵,27.7,3503625
2634,漢翔,50.2,3576500
2636,台驊控股,64.7,314488
2637,慧洋-KY,66.7,5659523
2642,宅配通,26.35,65153
2645,長榮航太,141.5,1133848
2646,星宇航空,23.6,5179585
2701,萬企,11.05,56072
2702,華園,11.65,21969
2704,國賓,43.3,40187
2705,六福,16.55,92459
2706,第一店,13.05,30883
2707,晶華,189.5,100738
2712,遠雄來,18.65,23282
2722,夏都,27.1,55338
2723,美食-KY,66.9,166108
2727,王品,210.0,604354
2731,雄獅,161.5,970192
2739,寒舍,35.15,62932
2748,雲品,42.75,76027
2753,八方雲集,191.5,188123
2762,世界健身-KY,78.0,7254
2801,彰銀,20.55,8023441
2812,台中銀,21.25,8053513
2816,旺旺保,29.2,152560
2820,華票,16.85,1126923
2832,台產,52.7,204391
2834,臺企銀,15.85,12327987
2836,高雄銀,12.3,632871
2836A,高雄銀甲特,23.75,1000
2838,聯邦銀,19.15,917373
2838A,聯邦銀甲特,54.6,34050
2845,遠東銀,12.75,5980894
2849,安泰銀,13.4,34941
2850,新產,118.5,261788
2851,中再保,26.05,1135190
2852,第一保,27.95,189188
2855,統一證,24.2,2790549
2867,三商壽,7.67,14028962
2880,華南金,30.75,8048762
2881,富邦金,95.1,11702145
2881A,富邦特,63.5,41069
2881B,富邦金乙特,61.8,9146
2881C,富邦金丙特,53.7,17897
2882,國泰金,69.2,27598689
2882A,國泰特,60.7,62082
2882B,國泰金乙特,60.0,83413
2883,凱基金,16.95,102656633
2883B,凱基金乙特,7.81,2334371
2884,玉山金,32.35,38374488
2885,元大金,37.55,22831839
2886,兆豐金,40.9,10538858
2887,台新新光金,19.25,54517465
2887E,台新新光戊特一,49.6,72674
2887F,台新新光戊特二,46.0,40778
2887G,台新新光庚特一,39.15,24101
2887H,台新新光庚特二,38.75,146266
2887I,台新新光辛特,9.42,2409287
2887Z1,台新新光己特,16.4,181975
2889,國票金,15.95,5442441
2890,永豐金,27.4,22064518
2891,中信金,45.05,34453735
2891B,中信金乙特,63.8,4694
2892,第一金,28.2,32111588
2897,王道銀行,9.12,2733221
2897B,王道銀乙特,11.9,5132
2901,欣欣,24.8,1586
2903,遠百,23.0,3274997
2904,匯僑,17.1,53897
2905,三商,16.2,3487798
2906,高林,13.0,64671
2908,特力,20.4,348304
2910,統領,21.05,5001
2911,麗嬰房,4.7,13268
2912,統一超,228.0,1666687
2913,農林,13.65,358298
2915,潤泰全,54.1,1675754
2923,鼎固-KY,21.9,9442
2929,淘帝-KY,7.83,690210
2939,永邑-KY,24.65,7001
2945,三商家購,38.05,6685
3002,歐格,27.3,2935662
3003,健和興,47.6,137302
3004,豐達科,97.9,235048
3005,神基,121.0,1669620
3006,晶豪科,81.1,4279825
3008,大立光,2080.0,485287
3010,華立,117.0,2379666
3011,今皓,13.7,785478
3013,晟銘電,135.5,3662971
3014,聯陽,116.5,589241
3015,全漢,55.6,640820
3016,嘉晶,50.8,577814
3017,奇鋐,1430.0,6854831
3018,隆銘綠能,11.5,29663
3019,亞光,137.0,1635531
3021,鴻名,17.8,56123
3022,威強電,66.7,346890
3023,信邦,217.0,626439
3024,憶聲,10.7,832128
3025,星通,58.8,3624530
3026,禾伸堂,104.5,1937001
3027,盛達,22.7,219338
3028,增你強,38.7,3495512
3029,零壹,110.5,1324055
3030,德律,168.0,4536024
3031,佰鴻,19.55,233463
3032,偉訓,79.3,735135
3033,威健,30.75,1315586
3034,聯詠,377.5,2625916
3035,智原,170.5,3218486
3036,文曄,150.5,4306702
3036A,文曄甲特,51.4,21456
3037,欣興,225.0,36200499
3038,全台,20.35,265113
3040,遠見,56.7,288712
3041,揚智,24.95,581870
3042,晶技,86.2,1343486
3043,科風,21.7,125720
3044,健鼎,305.5,2920963
3045,台灣大,106.0,8373665
3046,建碁,53.9,1774224
3047,訊舟,17.55,640262
3048,益登,40.55,8270936
3049,精金,6.7,849493
3050,鈺德,12.55,2209677
3051,力特,18.35,417241
3052,夆典,11.4,764156
3054,立萬利,24.85,217815
3055,蔚華科,74.7,2257662
3056,富華新,17.75,1657191
3057,喬鼎,15.8,412819
3058,立德,10.25,565907
3059,華晶科,41.65,1771813
3060,銘異,29.8,10153175
3062,建漢,23.25,3454285
3090,日電貿,106.0,45639828
3092,鴻碩,16.1,1835640
3094,聯傑,24.25,98670
3130,一零四,225.0,19111
3135,凌航,66.1,1709747
3138,耀登,89.1,76423
3149,正達,33.85,1382654
3150,鈺寶-創,18.7,72837
3164,景岳,18.35,4639
3167,大量,232.0,14269230
3168,眾福科,43.35,3075
3189,景碩,151.5,18231402
3209,全科,31.85,1015324
3229,晟鈦,21.85,756700
3231,緯創,144.0,45778606
3257,虹冠電,63.5,270455
3266,昇陽,13.7,20100
3296,勝德,23.2,643228
3305,昇貿,97.0,2753250
3308,聯德,15.1,29630
3311,閎暉,30.9,301668
3312,弘憶股,35.8,445593
3321,同泰,19.9,402846
3338,泰碩,49.5,201786
3346,麗清,19.05,106530
3356,奇偶,45.6,293230
3376,新日興,215.5,11370682
3380,明泰,32.0,3024981
3406,玉晶光,412.0,1357967
3413,京鼎,300.0,1062135
3416,融程電,150.5,133370
3419,譁裕,13.1,125088
3432,台端,14.1,30219
3437,榮創,14.25,109363
3443,創意,2185.0,3849831
3447,展達,48.2,378005
3450,聯鈞,270.0,27881009
3454,晶睿,98.6,285587
3481,群創,13.5,59154681
3494,誠研,8.7,438477
3501,維熹,47.8,53392
3504,揚明光,51.4,191374
3515,華擎,268.5,1751144
3518,柏騰,20.95,109020
3528,安馳,70.0,277358
3530,晶相光,71.1,816301
3532,台勝科,97.1,855757
3533,嘉澤,1325.0,1188835
3535,晶彩科,85.5,3309256
3543,州巧,46.2,1576853
3545,敦泰,51.1,596042
3550,聯穎,12.8,337306
3557,嘉威,35.8,58717
3563,牧德,505.0,1568898
